keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Dürre',de,Hazard,#c13030,#9f4e4e,3,0.0924737200975932
'Dürre Klimawandel',de,Causes,#e8aa1a,#e8aa1a,3,0.0868233594648396
'Klimawandel Trockenheit',de,Causes,#e8aa1a,#e8b41a,3,0.0798086762485884
'Wassermanagement',de,Adaptation,#9837cc,#62178a,1,0.072169002246561
'Wassermangel',de,Impacts,#357d49,#7eae80,2,0.07168607651029779
'Hungersnot',de,Impacts,#458d49,#7eae80,2,0.0555330924684313
'Wasserknappheit',de,Impacts,#357d49,#7eae80,2,0.0543753999846985
'Dürremonitor',de,Hazard,#c13030,#cb5050,1,0.0542260646307169
'Trockenstress',de,Impacts,#428e47,#8dad69,1,0.0541968601949037
'Wasser sparen',de,Adaptation,#9837cc,#8c0ad1,3,0.0537978009898827
'Risikomanagement',de,Resilience,#5df0e1,#65dfef,3,0.0519051770423528
'Wasserspeicher',de,Mitigation,#348ad6,#70aadd,2,0.0510516599713005
'Grundwasserspiegel',de,Impacts,#418D42,#8dad69,1,0.0504795794912012
'Niedrigwasser',de,Hazard,#c13030,#cb5050,2,0.0497558276592043
'Wasser sparen Landwirtschaft',de,Mitigation,#348ad6,#1d6cb3,1,0.0490116075253547
'Versalzung',de,Causes,#e8aa1a,#f3d57c,1,0.0479629047589808
'Dürre Wasserversorgung',de,Hazard,#c13030,#cb5050,1,0.0477986240073003
'Wasserkrise',de,Impacts,#357d49,#7eae80,1,0.0472402596435557
'Dürre steigende Preise',de,Impacts,#257d59,#7eae80,1,0.0470685555462163
'Dürre Evakuierung',de,Mitigation,#348ad6,#70aadd,1,0.0463909388779552
'Hitzewelle Verdunstung',de,Causes,#e8aa1a,#efc565,1,0.0454293485150343
'Dürre teuer',de,Impacts,#157552,#7eae80,1,0.0448229393970039
'Regenmangel',de,Hazard,#b13040,#9f4e4e,1,0.0434582371061774
'Ernte Dürre',de,Impacts,#458D49,#8dad69,1,0.0420561232388531
'Ertragsverluste',de,Vulnerability,#6e030a,#96030d,1,0.0279573530349739
'Anpassungsstrategien',de,Resilience,#5df0e1,#65dfef,1,0.0247319613554314
'Ernteausfall Dürre',de,Impacts,#458D49,#8dad69,1,0.022494280796516
'Bodenverschlechterung',de,Vulnerability,#6e030a,#96030d,1,0.0140018806042805
'Dürre Wasserrationierung',de,Adaptation,#9837cc,#8c0ad1,1,0.0105191031509512
'Bewässerungsmanagement',de,Resilience,#5df0e1,#65dfef,1,0.0101163587365926
'Ernterückgang',de,Vulnerability,#6e030a,#96030d,1,0.0101163587365926
'Day Zero Wasser',de,Impacts,#558d39,#7eae80,1,0.007659103649488
'Klimasensibilität',de,Vulnerability,#6e030a,#96030d,1,0.0073090691871881
'Bodenfeuchtigkeitserhalt',de,Resilience,#5df0e1,#65dfef,1,0.0062127088091098
'Desertifikationstendenz',de,Vulnerability,#6e030a,#96030d,1,0.0062127088091098
